id,name,is_local,is_remote,open_source,license,pricing_model,price_note,accuracy_tier,languages_count,handwriting,math_formula,tables,layout_structure,best_for
azure-ai-vision-read,Azure AI Vision Read OCR (Computer Vision),True,True,False,proprietary,free_tier_then_paid,"As of 2026-06: Free tier (F0) = 5,000 transactions/month, capped at 20 calls/min (also limited to first 2 pages of PDF/TIFF and 4 MB file size). Standard tier (S1) OCR/Read = approx. $1.00 per 1,000 transactions for the 0-1M/month volume tier, with volume discounts at higher tiers (commonly cited around $1.50/1,000 in some regions/older quotes; verify current per-region price on the Azure pricing page, which lists OCR/Read under ""OCR (Read)""). One transaction = one image; for documents, page-based billing applies. On-premises Docker container billing follows the same Standard transaction model (requires a billable Azure resource for metering).",good,164,yes,no,limited,yes,"Cloud applications already on Azure that need reliable printed-text (and some handwritten) extraction from images and PDFs across many languages, with bounding boxes and confidence scores - especially real-time UX scenarios (Read 4.0) or batch document processing (Document Intelligence Read)."
calamari,Calamari OCR,True,False,True,GPL-3.0-or-later,free_oss,"Free and open source (no paid tier, no hosted service). As of 2026-06: zero cost; only your own compute (CPU/GPU). Pretrained models are free downloads.",excellent,,limited,no,no,no,"Digital-humanities and library/archive projects doing high-accuracy transcription of printed and historical documents (especially Latin-script Antiqua/Fraktur) where you can pre-segment lines and want a free, trainable, fully local engine — often as the recognition backend inside OCR4all or eScriptorium."
camelot,Camelot,True,False,True,MIT,free_oss,"Free and open source (MIT), no usage fees or quotas. As of 2026-06. Self-hosted; only your own compute costs apply (GPU optional for the [ml] Table Transformer backend).",varies,,no,no,yes,limited,"Extracting tabular data from born-digital, text-based PDFs (financial reports, government/tender filings, scientific papers, manuals) into pandas DataFrames or CSV/JSON/Excel — especially tables with visible gridlines (lattice). Best when you need a free, offline, scriptable tool with quality metrics, and can tune parameters per document type."
deepseek-ocr,DeepSeek-OCR,True,False,True,MIT,free_oss,"Free, open-weights (MIT). No first-party hosted API or per-page price; the only cost is your own GPU compute. Paper cites throughput of ~200k+ pages/day on a single A100-40G. As of 2026-06, third-party hosts (Hugging Face inference providers, Replicate, API aggregators) may charge to serve it, but there is no official DeepSeek OCR endpoint.",excellent,100,limited,yes,yes,yes,"Large-scale, GPU-backed document-to-markdown/text conversion where you want an open, self-hostable model with strong structured output (tables, math, charts) and excellent token-efficiency — e.g., building LLM training corpora or on-prem document pipelines."
docling,Docling,True,False,True,MIT,free_oss,"Free and open-source (MIT). No usage fees. As of 2026-06 the only costs are your own compute/GPU. Models (layout, TableFormer, GraniteDocling VLM, EasyOCR/RapidOCR weights) download once and are cached locally at no cost. Remote OCR backends it can wrap (e.g. Apple Vision on macOS, or a KServe inference server you host) are themselves free; any third-party paid OCR would be billed separately by that provider.",good,80,limited,yes,yes,yes,"Self-hosted, privacy-sensitive document-to-structured-content conversion at scale: converting PDFs/DOCX/PPTX/XLSX/HTML/images into clean Markdown or lossless JSON for RAG and gen-AI pipelines, with strong table, layout, formula, and code extraction. Best when you need pluggable OCR (swap Tesseract/EasyOCR/RapidOCR/Apple Vision) and full offline/air-gapped operation rather than a hosted API."
doctr,docTR,True,False,True,Apache-2.0,free_oss,"Free and open source (Apache-2.0); no license, subscription, or per-page fees. Only cost is your own compute/hosting. As of 2026-06. (Mindee also sells a separate commercial document-AI API, but docTR the library is free.)",good,,limited,no,limited,yes,"Developers needing a free, self-hosted, privacy-preserving OCR pipeline for printed PDFs and document images, who want word-level text plus bounding boxes and confidence in structured JSON, and who value swappable detection/recognition models and Python integration over turnkey table/math/handwriting extraction."
dots-ocr,dots.ocr,True,True,True,MIT,free_oss,"The model itself is free (MIT, open weights) — self-host with no licensing cost. There is no official first-party paid API; pricing comes only from third-party hosts (as of 2026-06): Replicate ~$0.0032 per run (community sljeff/dots.ocr deployment); Chutes lists it at ~$0.01 / 1M input tokens and ~$0.01 / 1M output tokens, pay-as-you-go with no subscription. Self-hosting cost is just GPU compute.",excellent,100,limited,yes,yes,yes,"Self-hosted, cost-free, privacy-preserving end-to-end document parsing where you want one compact model to do layout detection, reading order, tables, formulas, and multilingual text extraction with structured JSON+bbox output — competitive with proprietary VLM OCR services without per-page fees."
easyocr,EasyOCR,True,False,True,Apache-2.0,free_oss,"Free and open source (Apache-2.0); no usage fees, no API. Models download once at first use. As of 2026-06 there is no hosted/paid tier from Jaided AI for the library itself; Jaided AI offers separate paid custom-model training/enterprise support engagements (quote-based), not a metered OCR API.",good,86,limited,no,no,limited,"Local, offline, multilingual extraction of text + bounding boxes from images and scene/photo text where a permissive license and zero per-page cost matter, and where tables/forms/math/structured layout are NOT required."
got-ocr2,GOT-OCR2.0,True,False,True,Apache-2.0 (code and model weights); training data released CC-BY-NC-4.0,free_oss,"Free open-weights model (Apache-2.0). No first-party paid or hosted API. As of 2026-06 you self-host the ~580M-param weights and pay only your own compute. Third-party hosts (e.g. Clarifai listing under stepfun-ai/ocr, or community Replicate/fal-style endpoints) may charge per call, but those are unofficial and pricing varies by provider.",good,,limited,yes,yes,limited,"Teams needing a free, self-hosted, privacy-preserving single-model OCR for English/Chinese documents that also captures formulas, tables, charts and sheet music — especially academic PDFs, STEM/scientific content, and pipelines wanting LaTeX/markdown output without per-page API costs. Less suited to many-language production OCR or layout-rich document parsing where 2025-era specialists now lead."
img2table,img2table,True,False,True,MIT,free_oss,"Free and open-source (MIT) as of 2026-06. No cost for the library itself. Note: cloud OCR backends it can plug into (AWS Textract, Google Vision, Azure) are billed separately by those providers; local backends (Tesseract, PaddleOCR, EasyOCR, docTR, Surya, RapidOCR) are free.",varies,,limited,no,yes,yes,"Extracting structured tables (including merged cells and borderless layouts) from images and PDFs into pandas DataFrames or Excel, on CPU-only infrastructure, with freedom to pick any OCR backend (local or cloud). Good fit when you need a free, self-hosted, pluggable table extractor rather than a full document-understanding model."
